date_start,date_end,title,短標籤,notes,pinned
2026/6/20,2026/6/20,考前特訓 09:00–12:00,考前特訓,國二下第三次段考考前特訓（自然、數學）；自由參加，參加者需訂餐或家長外送
2026/6/20,2026/6/20,數學課 13:00–15:30,數學課,數學調課
2026/6/26,2026/6/26,啟用新課表（國三課表）,新課表,自此日起改用國三新課表，每週循環
2026/6/27,2026/6/27,國社第一堂課,國社,週六新增國社課程，本日為第一堂
