source_file,source_title,round_no,round_label,date_roc,date,weekday,paper_provider,scope,notes,confidence
IMG_3293.heic,115學年度模擬考日期及範圍,1,第一回,115.08.16,2026-08-16,日,南一,國一升國二：各科B1-2；國二升國三：國英數社B1-2，自然B1、B3,備註欄：含寫作測驗、英語聽力、數學非選；照片只拍到表格左半部,medium
IMG_3293.heic,115學年度模擬考日期及範圍,2,第二回,115.10.25,2026-10-25,日,漢華,各科B1-3,照片只拍到表格左半部；範圍由原圖與 OCR 校對後正規化,medium
IMG_3293.heic,115學年度模擬考日期及範圍,3,第三回,115.12.06,2026-12-06,日,南一,各科B1-4,照片只拍到表格左半部；範圍由原圖與 OCR 校對後正規化,medium
IMG_3293.heic,115學年度模擬考日期及範圍,4,第四回,116.01.24,2027-01-24,日,漢華,各科B1-5,照片只拍到表格左半部；範圍由原圖與 OCR 校對後正規化,medium
IMG_3293.heic,115學年度模擬考日期及範圍,5,第五回,116.03.07,2027-03-07,日,漢華,各科B1-5,照片只拍到表格左半部；範圍由原圖與 OCR 校對後正規化,medium
IMG_3293.heic,115學年度模擬考日期及範圍,6,第六回,116.04.11,2027-04-11,日,南一,各科B1-6,照片只拍到表格左半部；範圍由原圖與 OCR 校對後正規化,medium
